"municipio","ibge","latitude","longitude","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2010 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2011 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2012 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2013 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2014 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2015 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2016 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2017 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2018 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2019 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2020 (-)"
"São Borja","4318002","-28.65780000000","-56.00359999999","1.454","1.641","1.730","1.735","1.568","1.405","1.314","1.207","1.248","1.269","1.196"
"São Domingos do Sul","4318051","-28.53119999999","-51.88600000000","140","134","128","132","109","108","97","103","92","71","64"
"São Francisco de Assis","4318101","-29.5547","-55.12530000000","228","236","231","243","216","196","168","175","169","168","144"
"São Francisco de Paula","4318200","-29.4404","-50.58279999999","644","665","534","680","630","746","660","697","591","735","782"
"São Gabriel","4318309","-30.3337","-54.3217","1.271","1.351","1.290","1.316","1.338","1.301","1.255","1.202","1.154","1.068","1.160"
"São Jerônimo","4318408","-29.97159999999","-51.72509999999","734","787","708","680","619","572","509","464","440","404","402"
"São João da Urtiga","4318424","-27.81950000000","-51.82569999999","80","90","88","105","100","91","93","78","79","75","74"
"São João do Polêsine","4318432","-29.61939999999","-53.44389999999","78","74","85","89","96","70","73","82","88","83","99"
"São Jorge","4318440","-28.4984","-51.70640000000","80","79","89","72","75","78","89","64","64","70","59"
"São José das Missões","4318457","-27.7789","-53.12259999999","30","38","32","39","33","23","32","39","37","36","30"
