"municipio","ibge","latitude","longitude","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2010 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2011 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2012 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2013 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2014 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2015 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2016 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2017 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2018 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2019 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2020 (-)"
"Arambaré","4300851","-30.90930000000","-51.50460000000","60","67","44","72","73","77","53","56","55","58","54"
"Araricá","4300877","-29.61680000000","-50.92909999999","342","325","292","299","295","253","224","292","255","282","264"
"Aratiba","4300901","-27.3978","-52.29749999999","181","200","194","213","197","196","159","190","180","159","146"
"Arroio do Meio","4301008","-29.40139999999","-51.9557","1.247","1.199","1.252","1.388","1.301","1.274","1.208","1.239","1.218","1.178","1.220"
"Arroio do Padre","4301073","-31.4316","-52.41709999999","38","29","20","27","25","25","26","22","20","28","22"
"Arroio do Sal","4301057","-29.54390000000","-49.88949999999","323","298","344","360","339","363","387","406","423","381","344"
"Arroio do Tigre","4301206","-29.33480000000","-53.09660000000","274","294","331","357","334","303","260","292","281","299","267"
"Arroio dos Ratos","4301107","-30.08750000000","-51.72749999999","296","289","297","311","297","308","239","233","199","225","226"
"Arroio Grande","4301305","-32.23270000000","-53.08619999999","306","271","306","302","310","324","329","307","228","230","211"
"Arvorezinha","4301404","-28.87369999999","-52.17810000000","272","299","343","364","407","412","400","393","339","322","306"
"Augusto Pestana","4301503","-28.51729999999","-53.98830000000","158","181","192","245","189","190","189","168","168","159","168"
"Áurea","4301552","-27.6936","-52.0505","55","39","46","46","49","54","67","58","80","67","60"
"Bagé","4301602","-31.32969999999","-54.09989999999","2.490","2.826","2.978","3.052","3.073","2.828","2.459","2.531","2.547","2.388","2.276"
"Balneário Pinhal","4301636","-30.24190000000","-50.23360000000","172","247","214","260","229","254","242","252","244","236","252"
"Barão","4301651","-29.37250000000","-51.49490000000","474","454","433","461","440","340","284","267","262","260","256"
"Barão de Cotegipe","4301701","-27.62079999999","-52.37980000000","231","251","255","278","239","263","242","234","243","244","211"
"Barão do Triunfo","4301750","-30.38909999999","-51.73839999999","55","40","40","42","44","44","42","35","39","41","36"
"Barra do Guarita","4301859","-27.19269999999","-53.71090000000","22","22","19","30","36","27","34","24","22","31","29"
"Barra do Quaraí","4301875","-30.2029","-57.54970000000","52","54","42","79","69","92","89","146","148","126","139"
"Barra do Ribeiro","4301909","-30.29390000000","-51.30140000000","406","455","438","420","373","535","420","362","317","334","319"
"Barra do Rio Azul","4301925","-27.4068","-52.4084","10","12","17","10","13","13","16","13","13","15","20"
"Barra Funda","4301958","-27.92050000000","-53.03909999999","160","157","166","208","174","152","140","157","126","142","118"
"Barracão","4301800","-27.6739","-51.45859999999","103","105","66","69","69","64","71","84","70","65","57"
"Barros Cassal","4302006","-29.0947","-52.58359999999","95","110","112","111","99","108","98","113","127","106","106"
"Benjamin Constant do Sul","4302055","-27.50860000000","-52.59949999999","23","19","14","14","21","25","25","24","23","23","24"
"Bento Gonçalves","4302105","-29.1662","-51.51650000000","8.236","8.476","8.481","8.551","8.215","7.246","6.497","6.345","6.320","6.307","6.394"
"Boa Vista das Missões","4302154","-27.66710000000","-53.31020000000","47","43","34","47","64","60","49","52","53","48","40"
"Boa Vista do Buricá","4302204","-27.6693","-54.10819999999","417","439","316","334","336","322","290","300","278","278","232"
"Boa Vista do Cadeado","4302220","-28.5716","-53.81380000000","32","26","31","40","48","40","52","43","47","43","35"
"Boa Vista do Incra","4302238","-28.80920000000","-53.3874","42","44","40","45","45","56","51","43","42","37","40"
"Boa Vista do Sul","4302253","-29.35439999999","-51.66870000000","66","80","96","95","115","114","101","88","103","109","98"
"Bom Jesus","4302303","-28.66969999999","-50.42949999999","302","385","328","394","358","375","439","424","373","404","367"
"Bom Princípio","4302352","-29.48560000000","-51.35479999999","832","933","976","992","984","937","896","931","935","871","922"
"Bom Progresso","4302378","-27.53989999999","-53.87160000000","59","40","27","51","54","60","42","40","35","44","31"
"Bom Retiro do Sul","4302402","-29.60859999999","-51.94639999999","739","633","620","606","584","608","590","611","600","620","586"
"Boqueirão do Leão","4302451","-29.30460000000","-52.42840000000","104","104","92","119","115","101","77","104","82","73","56"
"Bossoroca","4302501","-28.72909999999","-54.90350000000","79","84","89","111","88","91","94","97","93","84","95"
"Bozano","4302584","-28.36746000000","-53.77223999999","19","21","21","17","25","18","28","23","26","26","18"
"Braga","4302600","-27.6173","-53.74049999999","65","50","39","52","43","53","46","49","39","28","24"
"Brochier","4302659","-29.5501","-51.59449999999","210","191","197","189","216","178","188","171","165","150","147"
"Butiá","4302709","-30.11789999999","-51.96009999999","518","541","496","517","461","448","467","383","352","397","355"
"Caçapava do Sul","4302808","-30.51439999999","-53.48270000000","728","721","733","821","869","907","890","926","901","873","703"
"Cacequi","4302907","-29.88830000000","-54.82200000000","137","141","124","140","125","131","119","137","123","113","117"
"Cachoeira do Sul","4303004","-30.03300000000","-52.89280000000","2.330","2.397","2.394","2.509","2.432","2.143","2.026","1.908","1.830","1.758","1.750"
"Cachoeirinha","4303103","-29.94719999999","-51.10159999999","7.293","7.614","7.169","6.957","6.478","5.785","5.646","5.376","4.952","5.412","5.167"
"Cacique Doble","4303202","-27.76699999999","-51.65970000000","23","35","55","51","65","55","46","53","53","46","41"
"Caibaté","4303301","-28.29050000000","-54.64540000000","101","108","129","131","119","104","103","103","115","121","117"
"Caiçara","4303400","-27.2791","-53.42569999999","41","53","43","61","57","53","55","54","49","51","46"
"Camaquã","4303509","-30.8489","-51.80429999999","1.914","1.920","2.009","2.229","2.244","2.062","1.838","1.790","1.686","1.645","1.588"
"Camargo","4303558","-28.58800000000","-52.20029999999","93","110","118","154","144","122","117","125","104","101","92"
"Cambará do Sul","4303608","-29.0474","-50.14650000000","272","267","198","282","275","268","301","279","238","234","194"
"Campestre da Serra","4303673","-28.7926","-51.09409999999","80","92","85","89","84","77","66","71","59","49","52"
"Campina das Missões","4303707","-27.98880000000","-54.84170000000","84","110","122","107","114","109","106","111","93","80","89"
"Campinas do Sul","4303806","-27.71740000000","-52.6248","133","152","173","180","156","131","129","147","130","99","83"
"Campo Bom","4303905","-29.67470000000","-51.06060000000","4.680","4.729","4.572","4.407","4.189","3.850","3.869","3.803","3.638","3.838","3.906"
"Campo Novo","4304002","-27.67920000000","-53.80519999999","146","159","153","177","177","169","179","170","176","168","147"
"Campos Borges","4304101","-28.8871","-53.00079999999","54","50","51","55","56","73","67","65","70","75","64"
"Candelária","4304200","-29.66839999999","-52.78949999999","734","783","812","828","747","923","982","1.147","1.167","1.091","629"
"Cândido Godói","4304309","-27.95149999999","-54.7517","144","202","195","233","221","208","211","214","249","216","244"
"Candiota","4304358","-31.55150000000","-53.67730000000","301","259","186","182","176","158","237","279","479","193","171"
"Canela","4304408","-29.35600000000","-50.81190000000","1.382","1.436","1.501","1.515","1.753","1.706","1.668","1.688","1.707","1.732","1.717"
"Canguçu","4304507","-31.39600000000","-52.67819999999","667","715","741","859","875","835","740","791","762","706","663"
"Canoas","4304606","-29.91280000000","-51.18569999999","16.643","16.394","16.577","16.815","14.678","13.658","12.470","12.942","12.684","12.280","11.751"
"Canudos do Vale","4304614","-29.3187","-52.23449999999","20","25","14","24","21","25","19","16","20","21","20"
"Capão Bonito do Sul","4304622","-29.76419999999","-50.02819999999","23","25","17","25","32","37","23","25","26","20","20"
"Capão da Canoa","4304630","-29.63970000000","-49.95989999999","2.356","2.479","2.537","2.548","2.589","2.518","2.479","2.547","2.577","2.753","2.634"
"Capão do Cipó","4304655","-28.904","-54.70000000000","34","40","35","39","40","40","38","42","40","57","56"
"Capão do Leão","4304663","-31.75649999999","-52.48890000000","523","563","444","459","449","460","374","351","388","357","386"
"Capela de Santana","4304689","-29.69610000000","-51.32800000000","187","210","282","359","325","277","259","226","238","201","226"
"Capitão","4304697","-29.26739999999","-51.98530000000","118","110","113","134","121","132","121","118","118","92","69"
"Capivari do Sul","4304671","-30.13820000000","-50.51509999999","209","221","230","207","196","192","159","155","163","171","178"
"Caraá","4304713","-29.78689999999","-50.43160000000","153","215","215","200","206","229","241","227","258","244","200"
"Carazinho","4304705","-28.2958","-52.79330000000","2.661","2.831","2.903","2.924","2.846","2.502","2.222","2.185","2.177","2.138","2.227"
"Carlos Barbosa","4304804","-29.29690000000","-51.50289999999","2.389","2.413","2.412","2.386","2.368","2.293","2.201","2.328","2.294","2.044","2.505"
"Carlos Gomes","4304853","-27.71669999999","-51.91210000000","13","11","12","7","12","9","9","15","14","18","18"
"Casca","4304903","-28.56050000000","-51.98149999999","470","539","499","529","552","526","505","446","505","488","500"
"Caseiros","4304952","-28.25819999999","-51.68610000000","69","65","62","61","67","82","78","83","88","68","68"
"Catuípe","4305009","-28.25540000000","-54.01319999999","162","174","155","178","188","173","157","203","173","141","126"
"Caxias do Sul","4305108","-29.1629","-51.17920000000","35489","35567","34315","33001","30580","26052","22831","22407","23619","22978","22444"
"Centenário","4305116","-27.76160000000","-51.99839999999","38","39","40","32","42","32","32","33","29","26","13"
"Cerrito","4305124","-31.84189999999","-52.80040000000","50","51","48","58","57","43","35","25","21","21","24"
"Cerro Branco","4305132","-29.657","-52.94060000000","44","68","55","59","59","51","40","40","38","32","31"
"Cerro Grande","4305157","-27.61060000000","-53.16720000000","28","32","38","26","31","29","32","27","31","24","27"
"Cerro Grande do Sul","4305173","-30.59049999999","-51.74179999999","152","161","167","166","189","165","166","168","176","176","165"
"Cerro Largo","4305207","-28.1462","-54.74280000000","668","598","615","638","651","564","510","443","463","475","470"
"Chapada","4305306","-28.05590000000","-53.06649999999","362","293","322","353","334","317","338","331","365","379","335"
"Charqueadas","4305355","-29.96250000000","-51.62890000000","1.039","1.085","1.111","1.225","1.114","792","654","917","936","821","860"
"Charrua","4305371","-27.94930000000","-52.01500000000","46","51","37","44","37","38","33","29","28","35","32"
"Chiapetta","4305405","-27.92299999999","-53.94189999999","74","79","79","83","87","67","58","80","66","76","86"
"Chuí","4305439","-33.68659999999","-53.45940000000","115","128","132","235","260","275","325","350","350","368","302"
"Chuvisca","4305447","-30.75039999999","-51.97370000000","19","37","24","27","28","36","26","38","29","27","23"
"Cidreira","4305454","-30.16039999999","-50.23380000000","321","354","343","364","407","407","363","416","412","389","302"
"Ciríaco","4305504","-28.34189999999","-51.87409999999","97","98","75","96","82","110","102","98","100","104","82"
"Colinas","4305587","-29.38149999999","-51.85260000000","53","123","135","172","166","107","75","68","47","44","38"
"Colorado","4305603","-28.5258","-52.99280000000","65","64","63","64","49","42","55","57","57","52","50"
"Condor","4305702","-28.2075","-53.49049999999","304","288","270","282","280","273","275","277","281","271","265"
"Constantina","4305801","-27.73199999999","-52.9938","342","352","368","365","401","441","384","377","350","321","290"
"Coqueiro Baixo","4305835","-29.1722","-52.0989","17","17","11","11","14","17","20","21","19","14","12"
"Coqueiros do Sul","4305850","-28.11939999999","-52.78419999999","36","40","44","46","51","50","49","42","49","49","57"
"Coronel Barros","4305871","-28.39219999999","-54.06860000000","40","46","45","50","51","45","53","46","48","38","37"
"Coronel Bicaco","4305900","-27.7197","-53.70219999999","103","116","105","103","119","108","111","114","117","136","145"
"Coronel Pilar","4305934","-29.2684","-51.68789999999","16","18","9","26","14","15","13","16","22","21","20"
"Cotiporã","4305959","-28.98910000000","-51.69709999999","122","135","131","142","134","147","101","103","89","90","88"
"Coxilha","4305975","-28.128","-52.30230000000","76","84","78","99","99","93","80","95","100","95","98"
"Crissiumal","4306007","-27.4999","-54.09940000000","518","577","551","556","525","521","529","466","395","412","375"
"Cristal","4306056","-31.0046","-52.04359999999","183","169","198","215","195","228","221","203","242","231","222"
"Cristal do Sul","4306072","-27.45200000000","-53.24219999999","14","18","30","44","22","27","11","7","12","14","16"
"Cruz Alta","4306106","-28.645","-53.60479999999","1.988","2.163","2.211","2.489","2.173","2.084","2.233","1.970","1.806","1.836","1.728"
"Cruzaltense","4306130","-27.66440000000","-52.6492","16","22","16","23","24","27","22","25","21","13","12"
"Cruzeiro do Sul","4306205","-29.51480000000","-51.99280000000","399","444","487","516","590","565","532","510","483","460","441"
"David Canabarro","4306304","-28.38489999999","-51.84819999999","126","118","120","131","117","111","112","117","108","113","83"
"Derrubadas","4306320","-27.26419999999","-53.8645","33","27","25","47","41","54","52","56","45","35","26"
"Dezesseis de Novembro","4306353","-28.21900000000","-55.06170000000","17","20","18","22","23","19","14","16","14","18","17"
"Dilermando de Aguiar","4306379","-29.70540000000","-54.21220000000","26","22","20","17","25","30","20","22","22","20","17"
"Dois Irmãos","4306403","-29.58360000000","-51.08979999999","2.644","2.641","2.664","2.676","2.481","2.215","2.227","2.076","2.114","2.113","1.900"
"Dois Irmãos das Missões","4306429","-27.66209999999","-53.5304","33","35","35","45","43","42","37","39","34","33","35"
"Dois Lajeados","4306452","-28.98300000000","-51.83959999999","63","82","98","81","72","84","81","77","67","65","74"
"Dom Feliciano","4306502","-30.70039999999","-52.10260000000","114","99","103","119","118","121","110","115","122","127","117"
"Dom Pedrito","4306601","-30.9756","-54.66940000000","863","906","922","901","847","926","850","811","747","697","649"
"Dom Pedro de Alcântara","4306551","-29.36390000000","-49.85300000000","107","64","63","63","59","55","49","49","53","46","33"
"Dona Francisca","4306700","-29.61949999999","-53.36169999999","51","47","30","60","64","52","38","34","40","36","26"
"Doutor Maurício Cardoso","4306734","-27.51030000000","-54.35779999999","81","106","136","150","136","113","120","104","87","77","66"
"Doutor Ricardo","4306759","-29.084","-51.99710000000","76","70","74","89","77","101","83","69","58","64","63"
"Eldorado do Sul","4306767","-30.08470000000","-51.61869999999","1.638","1.686","1.754","1.804","1.921","1.763","1.762","1.581","1.666","1.760","1.633"
"Encantado","4306809","-29.23509999999","-51.8703","1.319","1.308","1.403","1.410","1.405","1.320","1.228","1.239","1.214","1.203","1.205"
"Encruzilhada do Sul","4306908","-30.54299999999","-52.52040000000","518","544","553","579","698","692","577","581","601","569","572"
"Engenho Velho","4306924","-27.706","-52.91449999999","22","19","14","24","27","21","13","12","6","9","9"
"Entre Rios do Sul","4306957","-27.52980000000","-52.73469999999","44","51","59","59","51","33","30","37","30","41","31"
"Entre-ijuís","4306932","-28.36860000000","-54.26859999999","156","163","183","212","206","232","213","198","189","215","202"
"Erebango","4306973","-27.85439999999","-52.3005","54","54","50","60","39","43","44","44","41","35","33"
"Erechim","4307005","-27.63639999999","-52.2697","8.091","8.413","8.005","8.150","7.376","6.478","5.613","5.580","5.822","5.797","5.998"
"Ernestina","4307054","-28.49769999999","-52.58359999999","77","104","97","91","108","113","92","94","89","78","77"
"Erval Grande","4307203","-27.39260000000","-52.57399999999","92","114","107","118","124","125","101","109","107","114","104"
"Erval Seco","4307302","-27.5443","-53.50050000000","128","137","126","134","128","109","113","101","108","115","96"
"Esmeralda","4307401","-28.0518","-51.19330000000","59","54","55","66","56","71","63","72","80","79","62"
"Esperança do Sul","4307450","-27.36029999999","-53.98910000000","17","26","28","52","73","60","47","58","50","55","36"
"Espumoso","4307500","-28.7286","-52.8461","527","558","591","588","589","566","540","489","512","471","444"
"Estação","4307559","-27.91349999999","-52.26350000000","237","266","339","343","326","307","297","268","258","167","185"
"Estância Velha","4307609","-29.65350000000","-51.1843","2.363","2.278","2.256","2.320","2.236","1.928","1.853","1.918","1.852","1.928","1.697"
"Esteio","4307708","-29.852","-51.18410000000","3.743","3.775","3.999","3.724","3.453","2.999","2.421","2.289","2.183","2.282","2.491"
"Estrela","4307807","-29.5016","-51.96050000000","2.193","2.326","2.351","2.188","2.119","1.782","1.719","1.690","1.507","1.532","1.582"
"Estrela Velha","4307815","-29.17129999999","-53.16389999999","45","44","52","43","53","55","54","58","57","47","32"
"Eugênio de Castro","4307831","-28.53150000000","-54.15059999999","69","46","102","56","43","46","46","40","47","36","36"
"Fagundes Varela","4307864","-28.8794","-51.7014","105","113","120","107","106","84","89","90","87","83","96"
"Farroupilha","4307906","-29.2227","-51.34190000000","5211","5141","4856","4836","4811","4470","4002","4056","3999","3837","4059"
"Faxinal do Soturno","4308003","-29.57880000000","-53.44839999999","157","140","161","211","192","170","162","156","167","181","165"
"Faxinalzinho","4308052","-27.4238","-52.67889999999","29","33","38","43","34","37","30","29","33","36","26"
"Fazenda Vilanova","4308078","-29.5885","-51.8217","176","201","183","176","155","160","144","134","109","134","123"
"Feliz","4308102","-29.4527","-51.30319999999","781","823","832","816","786","664","713","668","661","650","647"
"Flores da Cunha","4308201","-29.02619999999","-51.1875","1683","1834","1897","1922","1942","1846","1780","1803","1771","1826","1927"
"Floriano Peixoto","4308250","-27.8614","-52.08379999999","37","30","34","30","22","18","14","15","19","23","21"
"Fontoura Xavier","4308300","-28.9816","-52.34449999999","252","156","207","240","239","226","195","229","245","216","234"
"Formigueiro","4308409","-30.00349999999","-53.49589999999","79","76","95","118","107","94","105","91","86","71","74"
"Forquetinha","4308433","-29.37920000000","-52.09170000000","40","74","60","75","78","73","71","83","83","63","44"
"Fortaleza dos Valos","4308458","-28.7986","-53.22489999999","99","102","98","103","110","82","78","82","80","86","79"
"Frederico Westphalen","4308508","-27.35859999999","-53.39580000000","1.691","1.795","1.954","2.093","2.126","1.945","1.881","1.804","1.711","1.587","1.651"
"Garibaldi","4308607","-29.259","-51.53520000000","2.833","2.933","2.836","2.840","2.974","2.580","2.395","2.157","2.240","2.287","2.433"
"Garruchos","4308656","-28.19440000000","-55.63830000000","22","30","14","34","28","21","19","21","20","27","25"
"Gaurama","4308706","-27.58559999999","-52.09150000000","227","213","190","201","187","170","163","161","138","127","116"
"General Câmara","4308805","-29.90319999999","-51.76120000000","135","121","150","194","179","188","104","92","90","87","75"
"Gentil","4308854","-28.4316","-52.03370000000","77","73","72","79","59","50","62","68","57","53","49"
"Getúlio Vargas","4308904","-27.89110000000","-52.22939999999","782","792","763","728","765","745","686","652","639","598","565"
"Giruá","4309001","-28.02969999999","-54.35170000000","519","497","472","476","513","520","489","490","452","463","418"
"Glorinha","4309050","-29.87979999999","-50.77340000000","1.060","1.028","1.276","1.144","492","376","259","375","292","248","202"
"Gramado","4309100","-29.3733","-50.87619999999","3.056","3.271","3.477","3.492","3.516","3.653","3.626","3.776","3.816","3.987","3.268"
"Gramado dos Loureiros","4309126","-27.44290000000","-52.91490000000","13","19","21","18","24","18","14","22","21","15","17"
"Gramado Xavier","4309159","-29.27060000000","-52.57950000000","39","40","26","27","35","39","30","36","32","28","21"
"Gravataí","4309209","-29.94129999999","-50.98689999999","9.248","9.631","10.142","11.109","10.225","8.679","7.626","8.175","8.526","8.598","8.211"
"Guabiju","4309258","-28.54210000000","-51.69480000000","30","41","39","35","27","34","31","32","35","23","16"
"Guaíba","4309308","-30.10859999999","-51.32330000000","2.175","2.397","2.340","2.541","3.544","2.474","2.284","2.237","2.271","2.122","2.071"
"Guaporé","4309407","-28.8399","-51.88949999999","1.780","1.837","1.847","1.754","1.793","1.706","1.566","1.587","1.534","1.522","1.365"
"Guarani das Missões","4309506","-28.14910000000","-54.56289999999","183","191","195","220","210","187","150","133","128","123","108"
"Harmonia","4309555","-29.5456","-51.41850000000","199","216","200","229","246","239","245","241","249","258","248"
"Herval","4307104","-32.02400000000","-53.39439999999","77","83","61","64","68","76","83","75","70","72","66"
"Herveiras","4309571","-29.45520000000","-52.65529999999","31","42","32","32","32","26","20","17","20","21","16"
"Horizontina","4309605","-27.6282","-54.30530000000","1.347","1.181","1.022","1.151","1.028","852","794","798","831","791","747"
"Hulha Negra","4309654","-31.40670000000","-53.86670000000","340","373","413","410","363","348","326","352","412","344","362"
"Humaitá","4309704","-27.56909999999","-53.96949999999","246","233","162","172","183","144","136","137","118","128","122"
"Ibarama","4309753","-29.42030000000","-53.1295","43","40","41","41","47","50","38","49","34","37","17"
"Ibiaçá","4309803","-28.0566","-51.85990000000","109","131","131","166","165","149","141","149","119","125","123"
"Ibiraiaras","4309902","-28.37409999999","-51.63770000000","164","183","170","208","217","194","181","201","168","169","146"
"Ibirapuitã","4309951","-28.62470000000","-52.51579999999","65","65","54","66","70","64","54","63","65","65","42"
"Ibirubá","4310009","-28.63019999999","-53.0961","978","1.052","1.166","1.314","1.249","1.039","1.037","1.036","1.033","986","1.038"
"Igrejinha","4310108","-29.56929999999","-50.79189999999","2.742","2.757","2.673","2.738","2.604","2.379","2.228","2.328","2.156","2.203","2.066"
"Ijuí","4310207","-28.38810000000","-53.92000000000","3.546","3.926","4.025","4.201","4.018","3.779","3.423","3.321","3.282","3.366","3.273"
"Ilópolis","4310306","-28.9282","-52.12579999999","102","124","100","108","109","132","122","132","124","117","107"
"Imbé","4310330","-29.97530000000","-50.12810000000","660","754","772","794","801","752","680","700","633","610","588"
"Imigrante","4310363","-29.3508","-51.77470000000","184","204","212","213","179","173","178","170","175","172","176"
"Independência","4310405","-27.8354","-54.18860000000","151","168","141","159","150","125","165","155","170","166","156"
"Inhacorá","4310413","-27.8752","-54.01500000000","26","31","38","25","20","25","8","22","17","16","7"
"Ipê","4310439","-28.8171","-51.28589999999","206","201","196","184","203","223","209","199","184","167","133"
"Ipiranga do Sul","4310462","-27.9404","-52.42710000000","30","34","28","29","36","33","30","27","20","22","16"
"Iraí","4310504","-27.1951","-53.25430000000","111","131","129","120","124","105","117","108","93","94","113"
"Itaara","4310538","-29.60129999999","-53.77250000000","87","79","70","65","66","63","52","65","118","95","168"
"Itacurubi","4310553","-28.7913","-55.24470000000","28","26","36","36","38","37","30","33","27","40","29"
"Itapuca","4310579","-28.77680000000","-52.1693","13","21","18","20","17","19","13","16","18","16","14"
"Itaqui","4310603","-29.131","-56.55149999999","987","1.000","990","1.079","1.058","1.092","955","865","805","733","729"
"Itati","4310652","-29.48832000000","-50.11357999999","21","26","33","53","58","51","41","54","59","41","54"
"Itatiba do Sul","4310702","-27.38459999999","-52.45380000000","84","37","32","47","53","50","51","46","42","32","24"
"Ivorá","4310751","-29.52319999999","-53.58420000000","13","11","12","13","14","13","9","7","4","5","4"
"Ivoti","4310801","-29.59949999999","-51.15330000000","1.302","1.346","1.333","1.470","1.306","1.226","1.190","1.118","1.179","1.113","1.086"
"Jaboticaba","4310850","-27.63469999999","-53.27620000000","34","43","36","45","50","47","42","39","51","46","41"
"Jacuizinho","4310876","-29.02199999999","-53.05369999999","20","25","15","17","25","24","12","16","22","21","15"
"Jacutinga","4310900","-27.72909999999","-52.53719999999","89","93","88","104","123","103","89","87","68","74","76"
"Jaguarão","4311007","-32.56040000000","-53.37700000000","395","450","465","538","519","489","457","443","473","445","372"
"Jaguari","4311106","-29.49360000000","-54.70300000000","151","186","163","162","189","170","152","143","167","160","139"
"Jaquirana","4311122","-28.8811","-50.36370000000","95","79","97","94","95","92","99","103","107","106","120"
"Jari","4311130","-29.29220000000","-54.22370000000","31","24","33","33","50","52","39","40","42","36","34"
"Jóia","4311155","-28.6435","-54.11410000000","94","134","114","117","107","111","116","109","109","118","108"
"Júlio de Castilhos","4311205","-29.22980000000","-53.67719999999","416","472","412","473","488","497","386","442","413","391","398"
"Lagoa Bonita do Sul","4311239","-29.48819999999","-53.01380000000","13","20","19","17","11","19","14","15","12","12","8"
"Lagoa dos Três Cantos","4311270","-28.56759999999","-52.86180000000","36","42","48","49","43","37","34","24","16","22","23"
"Lagoa Vermelha","4311304","-28.20929999999","-51.52479999999","1.110","1.294","1.353","1.369","1.375","1.261","1.223","1.147","1.144","1.091","1.011"
"Lagoão","4311254","-29.2348","-52.79970000000","30","29","38","50","32","31","30","40","38","41","37"
"Lajeado","4311403","-29.45909999999","-51.96439999999","6.532","6.998","7.033","7.204","7.160","6.499","5.947","6.022","6.063","6.234","6.204"
"Lajeado do Bugre","4311429","-27.69129999999","-53.18180000000","28","26","14","23","26","23","25","36","39","29","29"
"Lavras do Sul","4311502","-30.80709999999","-53.89309999999","105","97","96","105","107","100","104","85","112","83","81"
"Liberato Salzano","4311601","-27.60099999999","-53.07529999999","54","86","73","87","93","87","83","73","78","69","61"
"Lindolfo Collor","4311627","-29.58589999999","-51.21410000000","402","377","408","450","485","431","390","363","417","391","413"
"Linha Nova","4311643","-29.4679","-51.20029999999","49","50","56","49","43","42","41","35","30","27","27"
"Maçambará","4311718","-29.14450000000","-56.06739999999","36","40","37","51","48","63","48","56","64","68","58"
"Machadinho","4311700","-27.56670000000","-51.66680000000","69","90","92","100","114","119","172","173","182","159","130"
"Mampituba","4311734","-29.2136","-49.93110000000","13","11","11","22","27","20","23","24","28","23","21"
"Manoel Viana","4311759","-29.58589999999","-55.48409999999","83","101","97","110","105","112","101","104","98","93","75"
"Maquiné","4311775","-29.6798","-50.20790000000","95","95","103","108","93","114","100","113","108","116","129"
"Maratá","4311791","-29.5457","-51.55729999999","142","120","116","93","111","104","97","82","87","90","42"
"Marau","4311809","-28.4498","-52.19859999999","3.246","3.216","3.088","3.149","2.763","2.464","2.178","2.140","2.160","2.197","2.436"
"Marcelino Ramos","4311908","-27.46760000000","-51.90950000000","125","117","122","133","109","117","118","113","111","110","87"
"Mariana Pimentel","4311981","-30.35310000000","-51.58030000000","53","54","44","38","41","40","45","37","29","32","47"
"Mariano Moro","4312005","-27.3568","-52.14670000000","22","28","28","35","34","31","20","36","34","29","31"
"Marques de Souza","4312054","-29.33109999999","-52.09729999999","131","133","127","145","133","132","124","116","111","115","104"
"Mata","4312104","-29.56490000000","-54.46410000000","50","69","54","70","70","53","45","49","52","49","43"
"Mato Castelhano","4312138","-28.28000000000","-52.19319999999","41","28","36","28","103","35","38","52","47","37","20"
"Mato Leitão","4312153","-29.52850000000","-52.12780000000","360","411","392","362","348","375","420","432","412","395","148"
"Mato Queimado","4312179","-28.24750000000","-54.61919999999","12","19","18","18","26","31","30","29","32","27","16"
"Maximiliano de Almeida","4312203","-27.6325","-51.80210000000","88","94","97","110","90","87","83","70","76","84","65"
"Minas do Leão","4312252","-30.13459999999","-52.04229999999","171","184","200","185","186","187","168","151","129","115","110"
"Miraguaí","4312302","-27.497","-53.68910000000","231","277","344","364","354","356","320","332","346","373","525"
"Montauri","4312351","-28.6462","-52.07670000000","46","53","51","53","53","58","59","49","36","47","52"
"Monte Alegre dos Campos","4312377","-28.68049999999","-50.7834","36","102","43","37","26","34","40","46","66","54","50"
"Monte Belo do Sul","4312385","-29.16069999999","-51.63329999999","169","162","193","167","124","71","48","37","36","34","28"
"Montenegro","4312401","-29.68240000000","-51.4679","3.312","3.141","3.251","3.265","3.448","3.234","2.988","3.137","3.361","3.137","3.400"
"Mormaço","4312427","-28.6968","-52.6999","40","40","35","57","71","53","54","55","44","38","41"
"Morrinhos do Sul","4312443","-29.35780000000","-49.9328","44","33","42","49","51","50","44","42","39","38","38"
"Morro Redondo","4312450","-31.58869999999","-52.62610000000","280","316","240","258","216","148","234","81","208","168","198"
"Morro Reuter","4312476","-29.5379","-51.08109999999","416","377","353","329","300","288","290","299","297","288","261"
"Mostardas","4312500","-31.10539999999","-50.91669999999","307","357","291","309","306","313","328","324","318","271","325"
