"municipio","ibge","latitude","longitude","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 15 a 17 anos 2010 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 15 a 17 anos 2011 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 15 a 17 anos 2012 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 15 a 17 anos 2013 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 15 a 17 anos 2014 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 15 a 17 anos 2015 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 15 a 17 anos 2016 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 15 a 17 anos 2017 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 15 a 17 anos 2018 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 15 a 17 anos 2019 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 15 a 17 anos 2020 (-)"
"Amaral Ferrador","4300638","-30.87559999999","-52.25099999999","2","0","0","1","0","0","0","0","0","0","0"
"Ametista do Sul","4300646","-27.36070000000","-53.183","10","21","27","23","23","23","19","15","17","20","14"
"André da Rocha","4300661","-28.62829999999","-51.57970000000","2","5","5","2","3","5","5","2","7","6","6"
"Anta Gorda","4300703","-28.96979999999","-52.01019999999","55","54","36","48","43","32","27","27","29","31","26"
"Antônio Prado","4300802","-28.8565","-51.2883","69","112","151","119","114","100","93","68","83","93","42"
"Arambaré","4300851","-30.90930000000","-51.50460000000","2","2","4","3","5","0","0","0","3","5","2"
"Araricá","4300877","-29.61680000000","-50.92909999999","25","37","42","42","42","31","16","24","42","13","32"
"Aratiba","4300901","-27.3978","-52.29749999999","14","12","13","9","9","14","11","5","2","6","4"
"Arroio do Meio","4301008","-29.40139999999","-51.9557","223","226","209","234","240","197","188","132","129","155","116"
"Arroio do Padre","4301073","-31.4316","-52.41709999999","0","0","0","0","1","0","0","0","0","0","0"
"Arroio do Sal","4301057","-29.54390000000","-49.88949999999","53","58","71","64","73","63","52","48","69","61","69"
"Arroio do Tigre","4301206","-29.33480000000","-53.09660000000","10","14","23","18","36","19","10","14","9","15","11"
"Arroio dos Ratos","4301107","-30.08750000000","-51.72749999999","15","20","14","20","21","14","15","9","15","12","10"
"Arroio Grande","4301305","-32.23270000000","-53.08619999999","12","9","11","16","13","14","13","9","15","18","7"
"Arvorezinha","4301404","-28.87369999999","-52.17810000000","39","46","45","39","49","42","31","23","24","25","22"
"Augusto Pestana","4301503","-28.51729999999","-53.98830000000","14","12","8","14","16","6","6","7","6","8","7"
"Áurea","4301552","-27.6936","-52.0505","3","2","2","4","10","5","5","6","3","4","7"
"Bagé","4301602","-31.32969999999","-54.09989999999","79","123","142","178","232","208","166","158","178","162","146"
"Balneário Pinhal","4301636","-30.24190000000","-50.23360000000","21","29","32","34","41","31","24","20","14","17","32"
"Barão","4301651","-29.37250000000","-51.49490000000","71","56","52","66","69","41","27","24","21","43","24"
"Barão de Cotegipe","4301701","-27.62079999999","-52.37980000000","30","24","21","19","20","30","28","35","28","17","16"
"Barão do Triunfo","4301750","-30.38909999999","-51.73839999999","3","2","3","5","3","2","0","0","0","0","5"
"Barra do Guarita","4301859","-27.19269999999","-53.71090000000","2","1","0","1","1","0","0","0","2","0","0"
"Barra do Quaraí","4301875","-30.2029","-57.54970000000","5","2","0","5","3","13","12","14","7","4","9"
"Barra do Ribeiro","4301909","-30.29390000000","-51.30140000000","22","31","28","70","48","46","64","32","39","18","31"
"Barra do Rio Azul","4301925","-27.4068","-52.4084","0","1","0","2","0","1","0","0","0","0","0"
"Barra Funda","4301958","-27.92050000000","-53.03909999999","28","25","41","33","32","22","16","16","14","13","8"
"Barracão","4301800","-27.6739","-51.45859999999","6","11","9","10","4","3","0","2","3","0","3"
"Barros Cassal","4302006","-29.0947","-52.58359999999","1","4","6","9","7","4","5","1","6","8","5"
"Benjamin Constant do Sul","4302055","-27.50860000000","-52.59949999999","0","0","3","3","4","0","1","2","0","3","2"
"Bento Gonçalves","4302105","-29.1662","-51.51650000000","935","1.045","1.003","1.068","1.129","801","786","711","811","741","790"
"Boa Vista das Missões","4302154","-27.66710000000","-53.31020000000","2","2","2","3","6","3","5","6","4","1","2"
"Boa Vista do Buricá","4302204","-27.6693","-54.10819999999","31","24","21","27","27","20","19","18","18","11","11"
"Boa Vista do Cadeado","4302220","-28.5716","-53.81380000000","0","0","4","4","1","3","1","3","1","1","2"
"Boa Vista do Incra","4302238","-28.80920000000","-53.3874","3","2","3","3","2","1","2","2","3","1","1"
"Boa Vista do Sul","4302253","-29.35439999999","-51.66870000000","1","8","9","5","4","5","1","9","2","4","3"
"Bom Jesus","4302303","-28.66969999999","-50.42949999999","29","24","22","30","21","17","17","18","20","20","19"
"Bom Princípio","4302352","-29.48560000000","-51.35479999999","114","156","191","140","174","99","109","74","120","44","130"
"Bom Progresso","4302378","-27.53989999999","-53.87160000000","2","1","3","3","1","0","1","2","2","1","1"
"Bom Retiro do Sul","4302402","-29.60859999999","-51.94639999999","177","194","137","137","92","75","66","84","79","87","69"
"Boqueirão do Leão","4302451","-29.30460000000","-52.42840000000","8","6","2","5","6","4","4","1","2","2","3"
"Bossoroca","4302501","-28.72909999999","-54.90350000000","2","6","5","2","3","3","4","6","3","4","1"
"Bozano","4302584","-28.36746000000","-53.77223999999","0","0","1","2","1","3","2","0","0","1","1"
"Braga","4302600","-27.6173","-53.74049999999","0","2","3","2","3","2","1","1","1","3","1"
"Brochier","4302659","-29.5501","-51.59449999999","41","50","37","37","28","16","12","8","7","10","10"
"Butiá","4302709","-30.11789999999","-51.96009999999","17","21","17","24","16","20","15","11","21","40","8"
"Caçapava do Sul","4302808","-30.51439999999","-53.48270000000","11","30","31","43","49","43","44","34","38","59","49"
"Cacequi","4302907","-29.88830000000","-54.82200000000","7","3","2","5","1","6","3","12","13","13","11"
"Cachoeira do Sul","4303004","-30.03300000000","-52.89280000000","248","288","270","294","388","279","242","287","290","287","166"
"Cachoeirinha","4303103","-29.94719999999","-51.10159999999","519","670","732","813","816","711","535","482","412","420","301"
"Cacique Doble","4303202","-27.76699999999","-51.65970000000","1","2","1","0","1","1","0","1","2","2","1"
"Caibaté","4303301","-28.29050000000","-54.64540000000","7","16","14","15","15","13","12","15","18","8","12"
"Caiçara","4303400","-27.2791","-53.42569999999","2","5","7","4","4","5","1","3","1","5","2"
"Camaquã","4303509","-30.8489","-51.80429999999","92","90","81","129","153","172","108","97","109","117","93"
"Camargo","4303558","-28.58800000000","-52.20029999999","11","14","17","20","16","12","14","13","12","8","12"
"Cambará do Sul","4303608","-29.0474","-50.14650000000","12","10","5","13","21","22","29","19","9","8","11"
"Campestre da Serra","4303673","-28.7926","-51.09409999999","2","6","8","7","7","5","4","2","1","2","3"
"Campina das Missões","4303707","-27.98880000000","-54.84170000000","6","3","7","10","8","8","5","4","2","5","4"
"Campinas do Sul","4303806","-27.71740000000","-52.6248","8","18","13","13","13","15","9","9","7","8","10"
"Campo Bom","4303905","-29.67470000000","-51.06060000000","452","636","617","708","624","471","352","297","306","274","218"
"Campo Novo","4304002","-27.67920000000","-53.80519999999","18","9","12","9","4","10","13","18","27","24","13"
"Campos Borges","4304101","-28.8871","-53.00079999999","1","4","6","4","10","6","7","2","7","7","7"
"Candelária","4304200","-29.66839999999","-52.78949999999","51","67","76","74","81","69","57","82","59","63","67"
"Cândido Godói","4304309","-27.95149999999","-54.7517","12","11","8","11","12","5","7","5","6","7","11"
"Candiota","4304358","-31.55150000000","-53.67730000000","18","18","8","29","7","31","20","7","10","3","4"
"Canela","4304408","-29.35600000000","-50.81190000000","166","179","229","242","265","237","180","191","163","163","123"
"Canguçu","4304507","-31.39600000000","-52.67819999999","18","27","38","30","42","25","28","25","17","25","31"
"Canoas","4304606","-29.91280000000","-51.18569999999","1.229","1.542","1.482","1.680","1.807","1.409","1.189","960","983","901","718"
"Canudos do Vale","4304614","-29.3187","-52.23449999999","1","2","1","0","2","0","1","0","2","0","0"
"Capão Bonito do Sul","4304622","-29.76419999999","-50.02819999999","1","0","1","2","1","0","0","3","4","2","2"
"Capão da Canoa","4304630","-29.63970000000","-49.95989999999","407","449","415","474","479","357","313","280","249","234","268"
"Capão do Cipó","4304655","-28.904","-54.70000000000","2","2","2","0","2","1","1","2","1","1","1"
"Capão do Leão","4304663","-31.75649999999","-52.48890000000","14","20","16","24","19","15","18","24","18","21","10"
"Capela de Santana","4304689","-29.69610000000","-51.32800000000","25","34","25","37","29","17","8","8","11","10","23"
"Capitão","4304697","-29.26739999999","-51.98530000000","37","34","30","26","22","25","27","16","20","12","11"
"Capivari do Sul","4304671","-30.13820000000","-50.51509999999","20","19","15","16","23","19","12","13","16","5","4"
"Caraá","4304713","-29.78689999999","-50.43160000000","40","48","29","16","25","13","19","15","12","14","16"
"Carazinho","4304705","-28.2958","-52.79330000000","222","306","270","439","404","260","268","238","210","206","202"
"Carlos Barbosa","4304804","-29.29690000000","-51.50289999999","257","298","332","364","383","363","273","324","357","267","233"
"Carlos Gomes","4304853","-27.71669999999","-51.91210000000","0","0","0","0","0","0","0","0","0","0","0"
"Casca","4304903","-28.56050000000","-51.98149999999","52","61","50","71","70","53","42","46","48","54","66"
"Caseiros","4304952","-28.25819999999","-51.68610000000","3","5","2","3","1","4","3","1","1","1","4"
"Catuípe","4305009","-28.25540000000","-54.01319999999","12","13","10","18","13","10","8","7","10","10","12"
"Caxias do Sul","4305108","-29.1629","-51.17920000000","3697","3951","3827","3515","3667","2558","2312","2155","2103","2295","2290"
"Centenário","4305116","-27.76160000000","-51.99839999999","2","3","1","1","3","5","4","2","1","3","1"
"Cerrito","4305124","-31.84189999999","-52.80040000000","3","3","5","5","2","1","0","0","2","0","0"
"Cerro Branco","4305132","-29.657","-52.94060000000","2","3","1","4","1","3","0","0","0","2","3"
"Cerro Grande","4305157","-27.61060000000","-53.16720000000","2","2","2","0","0","1","1","2","1","0","0"
"Cerro Grande do Sul","4305173","-30.59049999999","-51.74179999999","13","9","13","18","24","22","12","8","9","12","14"
"Cerro Largo","4305207","-28.1462","-54.74280000000","79","59","101","59","78","46","46","46","37","36","32"
"Chapada","4305306","-28.05590000000","-53.06649999999","38","24","34","50","44","55","32","20","38","43","29"
"Charqueadas","4305355","-29.96250000000","-51.62890000000","49","102","76","70","70","63","37","40","27","39","26"
"Charrua","4305371","-27.94930000000","-52.01500000000","2","2","3","2","0","1","0","1","1","1","2"
"Chiapetta","4305405","-27.92299999999","-53.94189999999","2","1","1","0","3","1","3","3","3","2","4"
"Chuí","4305439","-33.68659999999","-53.45940000000","6","8","5","11","14","14","20","17","18","20","17"
"Chuvisca","4305447","-30.75039999999","-51.97370000000","0","0","0","0","2","1","1","0","0","1","4"
"Cidreira","4305454","-30.16039999999","-50.23380000000","53","65","51","78","87","61","30","46","45","30","16"
"Ciríaco","4305504","-28.34189999999","-51.87409999999","11","11","14","14","12","10","11","14","5","9","12"
"Colinas","4305587","-29.38149999999","-51.85260000000","6","9","14","16","6","2","10","4","1","3","3"
"Colorado","4305603","-28.5258","-52.99280000000","3","6","8","8","9","4","6","5","4","5","5"
"Condor","4305702","-28.2075","-53.49049999999","24","30","22","34","29","31","20","22","25","27","29"
"Constantina","4305801","-27.73199999999","-52.9938","41","34","29","29","34","30","38","35","26","26","21"
"Coqueiro Baixo","4305835","-29.1722","-52.0989","0","2","1","0","0","1","0","2","2","1","0"
"Coqueiros do Sul","4305850","-28.11939999999","-52.78419999999","2","4","9","5","2","0","4","4","4","2","4"
"Coronel Barros","4305871","-28.39219999999","-54.06860000000","1","2","5","4","3","2","1","2","1","0","1"
"Coronel Bicaco","4305900","-27.7197","-53.70219999999","2","6","4","2","4","2","5","4","0","7","1"
"Coronel Pilar","4305934","-29.2684","-51.68789999999","0","0","0","1","0","0","0","1","0","0","0"
"Cotiporã","4305959","-28.98910000000","-51.69709999999","9","10","12","18","20","9","9","9","7","5","11"
"Coxilha","4305975","-28.128","-52.30230000000","3","2","4","5","2","2","1","1","0","1","4"
"Crissiumal","4306007","-27.4999","-54.09940000000","74","67","61","54","49","54","26","18","17","14","14"
"Cristal","4306056","-31.0046","-52.04359999999","5","6","15","12","6","12","9","12","13","22","12"
"Cristal do Sul","4306072","-27.45200000000","-53.24219999999","1","0","2","2","1","2","1","1","0","0","0"
"Cruz Alta","4306106","-28.645","-53.60479999999","185","196","222","228","267","192","232","185","190","168","173"
"Cruzaltense","4306130","-27.66440000000","-52.6492","0","0","0","0","0","0","0","0","0","0","0"
"Cruzeiro do Sul","4306205","-29.51480000000","-51.99280000000","72","79","77","89","104","99","72","47","51","51","53"
"David Canabarro","4306304","-28.38489999999","-51.84819999999","14","20","16","10","9","9","13","5","5","10","10"
"Derrubadas","4306320","-27.26419999999","-53.8645","1","1","1","0","1","5","3","1","1","2","2"
"Dezesseis de Novembro","4306353","-28.21900000000","-55.06170000000","2","0","0","0","0","0","0","1","1","1","0"
"Dilermando de Aguiar","4306379","-29.70540000000","-54.21220000000","1","0","2","1","0","0","0","0","1","0","0"
"Dois Irmãos","4306403","-29.58360000000","-51.08979999999","417","416","369","443","435","474","286","295","269","274","169"
"Dois Irmãos das Missões","4306429","-27.66209999999","-53.5304","5","1","1","3","2","1","1","2","4","3","0"
"Dois Lajeados","4306452","-28.98300000000","-51.83959999999","8","12","5","15","11","9","11","9","7","12","10"
"Dom Feliciano","4306502","-30.70039999999","-52.10260000000","2","5","3","3","7","6","5","2","6","8","4"
"Dom Pedrito","4306601","-30.9756","-54.66940000000","38","61","68","67","65","56","51","32","45","50","44"
"Dom Pedro de Alcântara","4306551","-29.36390000000","-49.85300000000","3","2","3","6","4","7","2","1","0","1","2"
"Dona Francisca","4306700","-29.61949999999","-53.36169999999","0","1","0","1","5","4","3","1","5","3","1"
"Doutor Maurício Cardoso","4306734","-27.51030000000","-54.35779999999","8","9","12","15","12","8","4","6","7","10","8"
"Doutor Ricardo","4306759","-29.084","-51.99710000000","19","12","13","23","21","15","17","8","11","12","4"
"Eldorado do Sul","4306767","-30.08470000000","-51.61869999999","77","61","90","107","154","127","113","84","77","95","59"
"Encantado","4306809","-29.23509999999","-51.8703","176","248","215","240","237","201","173","154","135","172","146"
"Encruzilhada do Sul","4306908","-30.54299999999","-52.52040000000","16","19","29","33","27","27","28","18","21","14","17"
"Engenho Velho","4306924","-27.706","-52.91449999999","0","0","0","1","2","0","1","1","1","1","0"
"Entre Rios do Sul","4306957","-27.52980000000","-52.73469999999","5","6","8","4","5","2","2","0","2","0","1"
"Entre-ijuís","4306932","-28.36860000000","-54.26859999999","11","16","19","16","20","15","10","13","13","8","14"
"Erebango","4306973","-27.85439999999","-52.3005","5","5","5","1","4","5","1","1","2","1","0"
"Erechim","4307005","-27.63639999999","-52.2697","728","925","946","898","923","671","625","555","557","554","580"
"Ernestina","4307054","-28.49769999999","-52.58359999999","9","16","13","4","7","7","6","6","4","1","2"
"Erval Grande","4307203","-27.39260000000","-52.57399999999","4","3","10","4","3","7","5","4","4","0","1"
"Erval Seco","4307302","-27.5443","-53.50050000000","8","9","14","10","12","8","2","6","3","4","3"
"Esmeralda","4307401","-28.0518","-51.19330000000","5","4","4","6","6","2","7","3","1","5","7"
"Esperança do Sul","4307450","-27.36029999999","-53.98910000000","1","0","1","2","4","1","1","0","0","1","0"
"Espumoso","4307500","-28.7286","-52.8461","68","46","86","100","97","81","77","47","71","74","63"
"Estação","4307559","-27.91349999999","-52.26350000000","52","45","61","56","51","30","26","25","21","21","30"
"Estância Velha","4307609","-29.65350000000","-51.1843","206","239","250","254","268","220","144","140","134","144","127"
"Esteio","4307708","-29.852","-51.18410000000","233","285","315","346","349","295","228","135","122","111","119"
"Estrela","4307807","-29.5016","-51.96050000000","231","291","282","275","289","199","171","149","129","150","139"
"Estrela Velha","4307815","-29.17129999999","-53.16389999999","0","0","4","5","5","2","9","2","5","8","7"
"Eugênio de Castro","4307831","-28.53150000000","-54.15059999999","3","2","8","2","3","3","1","2","2","2","1"
"Fagundes Varela","4307864","-28.8794","-51.7014","18","16","15","15","12","14","17","14","21","10","12"
"Farroupilha","4307906","-29.2227","-51.34190000000","703","780","710","792","720","581","493","475","473","435","375"
"Faxinal do Soturno","4308003","-29.57880000000","-53.44839999999","7","4","5","12","6","5","11","11","12","15","13"
"Faxinalzinho","4308052","-27.4238","-52.67889999999","0","1","6","5","0","1","4","1","1","0","3"
"Fazenda Vilanova","4308078","-29.5885","-51.8217","24","37","36","45","38","22","16","14","11","13","10"
"Feliz","4308102","-29.4527","-51.30319999999","101","143","102","89","100","71","72","52","56","40","69"
"Flores da Cunha","4308201","-29.02619999999","-51.1875","148","243","174","210","222","167","191","170","115","173","260"
"Floriano Peixoto","4308250","-27.8614","-52.08379999999","0","1","0","1","1","0","0","0","0","1","0"
"Fontoura Xavier","4308300","-28.9816","-52.34449999999","23","11","19","21","18","20","16","11","13","15","20"
"Formigueiro","4308409","-30.00349999999","-53.49589999999","1","4","10","10","9","6","7","8","8","6","7"
"Forquetinha","4308433","-29.37920000000","-52.09170000000","7","18","16","11","7","10","8","6","0","6","5"
"Fortaleza dos Valos","4308458","-28.7986","-53.22489999999","1","6","5","7","9","10","3","4","4","5","5"
"Frederico Westphalen","4308508","-27.35859999999","-53.39580000000","162","151","190","182","196","179","151","156","147","131","134"
"Garibaldi","4308607","-29.259","-51.53520000000","262","306","307","395","365","353","274","210","266","253","259"
"Garruchos","4308656","-28.19440000000","-55.63830000000","0","1","2","1","0","1","1","2","1","1","2"
"Gaurama","4308706","-27.58559999999","-52.09150000000","6","12","17","9","16","18","11","14","10","8","15"
"General Câmara","4308805","-29.90319999999","-51.76120000000","2","4","4","5","16","14","3","5","1","2","1"
"Gentil","4308854","-28.4316","-52.03370000000","7","10","13","18","10","6","6","2","5","2","0"
"Getúlio Vargas","4308904","-27.89110000000","-52.22939999999","64","79","87","109","122","94","77","54","54","64","65"
"Giruá","4309001","-28.02969999999","-54.35170000000","57","45","48","65","54","49","50","44","18","30","36"
"Glorinha","4309050","-29.87979999999","-50.77340000000","37","50","37","41","27","47","16","8","29","14","5"
"Gramado","4309100","-29.3733","-50.87619999999","417","456","526","483","519","442","371","279","301","349","305"
"Gramado dos Loureiros","4309126","-27.44290000000","-52.91490000000","0","0","0","4","2","2","2","3","0","1","2"
"Gramado Xavier","4309159","-29.27060000000","-52.57950000000","2","0","0","2","0","1","0","0","0","0","0"
"Gravataí","4309209","-29.94129999999","-50.98689999999","752","1.056","970","1.246","1.201","982","775","661","653","628","459"
"Guabiju","4309258","-28.54210000000","-51.69480000000","8","11","14","9","4","3","5","3","3","4","3"
"Guaíba","4309308","-30.10859999999","-51.32330000000","141","186","229","236","296","215","177","159","154","158","147"
"Guaporé","4309407","-28.8399","-51.88949999999","351","368","355","351","338","290","254","233","198","218","150"
"Guarani das Missões","4309506","-28.14910000000","-54.56289999999","14","19","17","17","10","15","6","6","1","4","8"
"Harmonia","4309555","-29.5456","-51.41850000000","47","36","28","49","37","45","33","11","33","36","29"
"Herval","4307104","-32.02400000000","-53.39439999999","2","0","0","2","1","2","0","1","1","0","2"
"Herveiras","4309571","-29.45520000000","-52.65529999999","0","0","2","1","0","0","0","0","0","1","1"
"Horizontina","4309605","-27.6282","-54.30530000000","101","75","83","90","83","51","56","59","19","19","21"
"Hulha Negra","4309654","-31.40670000000","-53.86670000000","3","5","17","32","40","27","49","28","27","26","8"
"Humaitá","4309704","-27.56909999999","-53.96949999999","15","13","9","10","12","11","6","3","6","5","3"
"Ibarama","4309753","-29.42030000000","-53.1295","1","2","3","0","5","1","1","1","0","1","2"
"Ibiaçá","4309803","-28.0566","-51.85990000000","12","13","15","19","20","19","6","7","11","9","11"
"Ibiraiaras","4309902","-28.37409999999","-51.63770000000","20","15","19","28","26","18","28","17","20","15","21"
"Ibirapuitã","4309951","-28.62470000000","-52.51579999999","5","6","3","6","4","4","6","3","4","3","2"
"Ibirubá","4310009","-28.63019999999","-53.0961","104","125","183","172","162","148","108","111","76","124","60"
"Igrejinha","4310108","-29.56929999999","-50.79189999999","386","460","495","427","400","267","237","205","278","129","153"
"Ijuí","4310207","-28.38810000000","-53.92000000000","221","270","263","271","362","243","250","230","215","213","175"
"Ilópolis","4310306","-28.9282","-52.12579999999","20","11","12","22","22","17","11","5","5","3","9"
"Imbé","4310330","-29.97530000000","-50.12810000000","111","126","166","135","161","110","89","63","54","64","54"
"Imigrante","4310363","-29.3508","-51.77470000000","11","28","30","26","31","25","30","14","26","21","28"
"Independência","4310405","-27.8354","-54.18860000000","11","13","11","6","7","13","6","12","4","13","13"
"Inhacorá","4310413","-27.8752","-54.01500000000","0","4","1","3","1","1","1","1","1","0","0"
"Ipê","4310439","-28.8171","-51.28589999999","22","27","39","35","37","23","19","10","8","13","7"
"Ipiranga do Sul","4310462","-27.9404","-52.42710000000","3","2","2","2","4","1","1","1","2","2","2"
"Iraí","4310504","-27.1951","-53.25430000000","9","10","9","7","13","6","4","6","6","7","10"
"Itaara","4310538","-29.60129999999","-53.77250000000","4","9","2","3","1","5","5","7","4","1","2"
"Itacurubi","4310553","-28.7913","-55.24470000000","1","1","0","2","1","1","1","1","0","0","4"
"Itapuca","4310579","-28.77680000000","-52.1693","0","0","0","1","0","0","0","0","0","0","1"
"Itaqui","4310603","-29.131","-56.55149999999","76","79","83","76","100","54","60","52","39","50","47"
"Itati","4310652","-29.48832000000","-50.11357999999","0","1","2","3","7","2","0","5","2","2","1"
"Itatiba do Sul","4310702","-27.38459999999","-52.45380000000","5","4","0","3","7","3","4","4","3","0","1"
"Ivorá","4310751","-29.52319999999","-53.58420000000","0","1","0","0","0","0","0","0","0","0","0"
"Ivoti","4310801","-29.59949999999","-51.15330000000","128","137","136","162","155","109","79","81","124","130","128"
"Jaboticaba","4310850","-27.63469999999","-53.27620000000","0","2","3","6","2","1","1","1","2","2","1"
"Jacuizinho","4310876","-29.02199999999","-53.05369999999","0","0","0","2","0","0","0","0","0","0","0"
"Jacutinga","4310900","-27.72909999999","-52.53719999999","3","6","7","3","8","3","4","4","3","5","4"
"Jaguarão","4311007","-32.56040000000","-53.37700000000","22","25","20","25","36","38","28","31","33","37","24"
"Jaguari","4311106","-29.49360000000","-54.70300000000","4","7","7","9","17","13","12","6","4","7","5"
"Jaquirana","4311122","-28.8811","-50.36370000000","12","6","7","5","9","5","5","11","4","4","5"
"Jari","4311130","-29.29220000000","-54.22370000000","1","1","1","1","3","1","1","2","1","0","0"
"Jóia","4311155","-28.6435","-54.11410000000","3","3","1","1","4","3","6","8","4","5","8"
"Júlio de Castilhos","4311205","-29.22980000000","-53.67719999999","11","17","19","24","28","35","32","25","28","20","18"
"Lagoa Bonita do Sul","4311239","-29.48819999999","-53.01380000000","1","0","1","0","1","2","0","0","0","0","0"
"Lagoa dos Três Cantos","4311270","-28.56759999999","-52.86180000000","5","7","6","6","8","4","4","4","4","4","4"
"Lagoa Vermelha","4311304","-28.20929999999","-51.52479999999","129","163","242","247","210","176","120","114","115","114","107"
"Lagoão","4311254","-29.2348","-52.79970000000","0","0","1","0","2","1","1","3","3","0","0"
"Lajeado","4311403","-29.45909999999","-51.96439999999","644","738","745","742","893","643","560","540","513","456","572"
"Lajeado do Bugre","4311429","-27.69129999999","-53.18180000000","0","3","3","1","7","5","0","0","0","0","1"
"Lavras do Sul","4311502","-30.80709999999","-53.89309999999","1","2","3","2","4","3","3","6","3","3","0"
"Liberato Salzano","4311601","-27.60099999999","-53.07529999999","7","6","4","5","12","10","5","2","7","9","4"
"Lindolfo Collor","4311627","-29.58589999999","-51.21410000000","19","39","55","67","66","42","41","23","26","26","46"
"Linha Nova","4311643","-29.4679","-51.20029999999","14","12","5","8","6","4","2","4","7","5","4"
"Maçambará","4311718","-29.14450000000","-56.06739999999","0","2","2","3","0","2","1","0","0","0","1"
"Machadinho","4311700","-27.56670000000","-51.66680000000","2","9","8","5","5","6","9","10","10","11","9"
"Mampituba","4311734","-29.2136","-49.93110000000","0","0","1","1","1","0","2","1","0","0","0"
"Manoel Viana","4311759","-29.58589999999","-55.48409999999","3","2","6","4","7","4","7","3","2","1","3"
"Maquiné","4311775","-29.6798","-50.20790000000","3","5","4","8","8","5","10","4","3","5","6"
"Maratá","4311791","-29.5457","-51.55729999999","24","28","19","30","23","18","13","8","11","7","3"
"Marau","4311809","-28.4498","-52.19859999999","287","329","371","292","337","241","247","161","167","188","253"
"Marcelino Ramos","4311908","-27.46760000000","-51.90950000000","12","17","18","25","14","16","7","10","6","5","3"
"Mariana Pimentel","4311981","-30.35310000000","-51.58030000000","4","2","2","2","0","0","1","2","0","0","1"
"Mariano Moro","4312005","-27.3568","-52.14670000000","1","4","4","2","4","2","2","1","0","1","1"
"Marques de Souza","4312054","-29.33109999999","-52.09729999999","26","29","23","18","25","13","19","14","12","5","6"
"Mata","4312104","-29.56490000000","-54.46410000000","1","5","3","3","6","2","7","19","7","6","9"
"Mato Castelhano","4312138","-28.28000000000","-52.19319999999","3","1","3","2","9","1","5","3","1","2","2"
"Mato Leitão","4312153","-29.52850000000","-52.12780000000","96","93","61","86","86","54","41","19","35","36","16"
