"municipio","ibge","latitude","longitude","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 15 a 17 anos 2010 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 15 a 17 anos 2011 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 15 a 17 anos 2012 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 15 a 17 anos 2013 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 15 a 17 anos 2014 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 15 a 17 anos 2015 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 15 a 17 anos 2016 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 15 a 17 anos 2017 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 15 a 17 anos 2018 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 15 a 17 anos 2019 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 15 a 17 anos 2020 (-)"
"Aceguá","4300034","-31.86075999999","-54.16705999999","4","6","3","6","6","5","5","6","2","6","6"
"Água Santa","4300059","-28.16720000000","-52.03099999999","15","8","10","11","12","4","13","8","14","10","11"
"Agudo","4300109","-29.6447","-53.2515","24","22","21","23","47","28","33","50","25","29","19"
"Ajuricaba","4300208","-28.23420000000","-53.77570000000","10","13","14","10","11","6","10","12","10","4","9"
"Alecrim","4300307","-27.65790000000","-54.76489999999","6","9","9","5","6","2","4","3","3","3","4"
"Alegrete","4300406","-29.79019999999","-55.79489999999","81","139","115","95","112","106","98","57","101","84","64"
"Alegria","4300455","-27.83449999999","-54.05570000000","1","4","3","3","4","2","6","2","2","2","5"
"Almirante Tamandaré do Sul","4300471","-28.10859999999","-52.91190000000","3","9","5","8","8","2","8","4","10","6","10"
"Alpestre","4300505","-27.2502","-53.03410000000","6","6","3","8","10","5","4","4","2","4","4"
"Alto Alegre","4300554","-28.77690000000","-52.98919999999","2","0","4","2","4","8","4","7","6","4","3"
"Alto Feliz","4300570","-29.3919","-51.3123","16","13","12","22","12","17","9","20","10","8","36"
"Alvorada","4300604","-29.99139999999","-51.0809","209","380","409","456","463","361","280","181","212","251","212"
